Observation,Q_Values
"[-0.043, -0.429, 0.055, 0.633]","[11.518584194946001, 17.566641889184535]"
"[-0.051, -0.625, 0.068, 0.942]","[17.945633425601365, 12.701590532129357]"
"[-0.064, -0.431, 0.086, 0.672]","[20.08509047403039, 8.987961166295335]"
"[-0.072, -0.237, 0.1, 0.407]","[19.709623508018502, 17.902822383597904]"
"[-0.077, -0.043, 0.108, 0.148]","[7.454249812809399, 14.44401614000974]"
"[-0.078, 0.15, 0.111, -0.109]","[23.627720898973337, 5.391786910842013]"
"[-0.075, 0.344, 0.109, -0.365]","[20.66880086734177, 17.949791015571137]"
"[-0.068, 0.537, 0.101, -0.621]","[13.375101671961504, 20.740474478881502]"
"[-0.057, 0.341, 0.089, -0.298]","[13.44301996579604, 5.574250130453747]"
"[-0.051, 0.144, 0.083, 0.021]","[22.09755376762201, 20.059620287190896]"
"[-0.048, 0.338, 0.084, -0.244]","[21.107536056174233, 21.656568471488242]"
"[-0.041, 0.532, 0.079, -0.509]","[15.479162506991207, 5.512668747238763]"
"[-0.03, 0.726, 0.068, -0.776]","[15.167688981877722, 6.361679487255916]"
"[-0.016, 0.92, 0.053, -1.047]","[19.16099945559017, 9.891220608578102]"
"[0.003, 1.115, 0.032, -1.322]","[21.462450178804424, 23.261022177467545]"
"[0.025, 1.309, 0.006, -1.605]","[11.324141681556977, 18.413879923112383]"
"[0.051, 1.504, -0.027, -1.896]","[21.34980862328035, 23.029101610492738]"
"[0.081, 1.309, -0.064, -1.612]","[22.230700823118266, 5.645732545879367]"
"[0.107, 1.115, -0.097, -1.34]","[24.596328004016158, 23.859918587463326]"
"[0.13, 1.311, -0.123, -1.661]","[16.47222440249803, 19.67850194554899]"
"[0.156, 1.118, -0.157, -1.409]","[12.832405711832095, 24.621555752108122]"
"[0.178, 1.315, -0.185, -1.746]","[20.587777934096312, 24.272567250002048]"
"[0.015, -0.002, 0.002, -0.028]","[17.47995543489969, 19.435002197563875]"
"[0.015, 0.193, 0.001, -0.32]","[15.774746027313473, 8.649332786135385]"
"[0.019, -0.002, -0.005, -0.027]","[9.909990138456951, 12.721143086331699]"
"[0.019, 0.193, -0.006, -0.321]","[6.989895223807146, 5.609974783421565]"
"[0.022, -0.002, -0.012, -0.03]","[18.635131222762197, 14.60666420538917]"
"[0.022, -0.197, -0.013, 0.259]","[9.957970328145, 13.519253447657881]"
"[0.018, -0.392, -0.007, 0.547]","[14.53914007059042, 10.495941639167338]"
"[0.011, -0.197, 0.003, 0.252]","[21.98558849162152, 10.118274609556861]"
"[0.007, -0.002, 0.008, -0.039]","[14.157354696003345, 17.880896746123593]"
"[0.007, -0.197, 0.008, 0.256]","[15.217866472515361, 5.654311760542953]"
"[0.003, -0.002, 0.013, -0.034]","[23.203272561082198, 21.91002229162931]"
"[0.003, 0.193, 0.012, -0.323]","[18.262567944204935, 9.708088373024946]"
"[0.006, -0.002, 0.006, -0.026]","[7.123934180983619, 11.067396051383255]"
"[0.006, -0.198, 0.005, 0.268]","[10.659744394428454, 9.70284203872691]"
"[0.002, -0.393, 0.011, 0.563]","[21.13238337290251, 5.195095131039963]"
"[-0.005, -0.198, 0.022, 0.273]","[6.470500400736778, 21.94146988415904]"
"[-0.009, -0.003, 0.027, -0.013]","[8.330156938765205, 7.750917108982225]"
"[-0.009, -0.199, 0.027, 0.289]","[24.00176867209461, 19.812002341043765]"
"[-0.013, -0.004, 0.033, 0.005]","[17.07153984583003, 7.32693069017861]"
"[-0.013, 0.191, 0.033, -0.278]","[20.48939905105899, 19.081231727438137]"
"[-0.01, 0.385, 0.027, -0.56]","[14.486427403201088, 8.807827106641152]"
"[-0.002, 0.19, 0.016, -0.259]","[22.795288938705944, 16.806773694933344]"
"[0.002, -0.005, 0.011, 0.039]","[15.72245620485479, 18.56194872143822]"
"[0.002, 0.19, 0.012, -0.25]","[20.438268329650285, 20.145713215673116]"
"[0.006, -0.006, 0.007, 0.046]","[18.075774476775916, 11.364575815483205]"
"[0.005, 0.189, 0.008, -0.244]","[14.200564602113843, 16.328694562723484]"
"[0.009, -0.006, 0.003, 0.051]","[17.19151735754309, 9.745649370383182]"
"[0.009, -0.201, 0.004, 0.344]","[19.860002764632227, 9.125470941216644]"
"[0.005, -0.006, 0.011, 0.053]","[19.992841920305708, 16.25701315843459]"
"[0.005, 0.189, 0.012, -0.236]","[18.992909879114688, 18.899402976426053]"
"[0.009, 0.384, 0.007, -0.525]","[16.325722885638736, 18.97118318502806]"
"[0.016, 0.579, -0.003, -0.816]","[15.356654720276918, 19.83084914496895]"
"[0.028, 0.774, -0.02, -1.11]","[24.474917327393804, 14.666253053703358]"
"[0.043, 0.579, -0.042, -0.823]","[16.248993141665064, 22.34390511781682]"
"[0.055, 0.775, -0.058, -1.129]","[19.238444565294955, 23.53985526038336]"
"[0.071, 0.971, -0.081, -1.439]","[21.0207039539549, 22.71987191447769]"
"[0.09, 0.777, -0.11, -1.173]","[16.730137373175506, 21.63315842200983]"
"[0.106, 0.973, -0.133, -1.498]","[23.035628339794947, 18.93237074484945]"
"[0.125, 1.17, -0.163, -1.829]","[5.693690167085849, 15.744226228343177]"
"[0.148, 1.366, -0.2, -2.168]","[12.69871675145926, 15.16092736341131]"
"[-0.011, 0.042, 0.043, 0.015]","[7.868340147003567, 10.40545735794658]"
"[-0.01, -0.153, 0.043, 0.32]","[23.766697412832933, 18.783325217070367]"
"[-0.013, -0.349, 0.049, 0.626]","[18.77244273832664, 19.620877501962077]"
"[-0.02, -0.155, 0.062, 0.349]","[16.881903622820282, 9.189540922910167]"
"[-0.023, -0.351, 0.069, 0.661]","[23.402885921648835, 11.817574298356648]"
"[-0.03, -0.547, 0.082, 0.974]","[14.416281016222477, 15.540778501407503]"
"[-0.041, -0.353, 0.101, 0.709]","[9.90913980530326, 14.66504183857474]"
"[-0.048, -0.159, 0.116, 0.45]","[14.452316616681241, 6.962179723605825]"
"[-0.052, 0.034, 0.125, 0.195]","[7.138730250085583, 21.54022052777113]"
"[-0.051, 0.227, 0.129, -0.056]","[16.4711467807726, 17.926406646635957]"
"[-0.046, 0.031, 0.127, 0.275]","[17.086448853284384, 17.874586792199185]"
"[-0.046, 0.224, 0.133, 0.025]","[20.132402759452955, 7.408299865451278]"
"[-0.041, 0.417, 0.133, -0.223]","[7.064957634842122, 11.619152478269339]"
"[-0.033, 0.61, 0.129, -0.471]","[12.202155302550935, 23.126018374981612]"
"[-0.021, 0.413, 0.12, -0.141]","[6.260043185594043, 8.825266042581939]"
"[-0.012, 0.216, 0.117, 0.187]","[9.587135825003692, 19.98566956154331]"
"[-0.008, 0.41, 0.12, -0.066]","[19.404645774390378, 12.739812336308653]"
"[0.0, 0.213, 0.119, 0.262]","[18.92926471458747, 23.91462835848675]"
"[0.004, 0.406, 0.124, 0.009]","[9.598308356476108, 23.87929301440704]"
"[0.012, 0.599, 0.125, -0.242]","[18.499291183996263, 13.879219767041228]"
"[0.024, 0.793, 0.12, -0.493]","[22.713580270608297, 14.766062317640639]"
"[0.04, 0.986, 0.11, -0.746]","[21.822774093317435, 24.939611044840447]"
"[0.06, 1.179, 0.095, -1.002]","[7.469085779468632, 17.015302445415124]"
"[0.084, 0.983, 0.075, -0.681]","[17.030459077042213, 5.311528025407181]"
"[0.103, 0.787, 0.061, -0.366]","[6.872045236222299, 22.458754148941843]"
"[0.119, 0.591, 0.054, -0.054]","[13.093937106319167, 5.793669334054471]"
"[0.131, 0.395, 0.053, 0.255]","[21.676867922298904, 7.7024985319194155]"
"[0.139, 0.59, 0.058, -0.021]","[15.561354196342075, 16.21164162326257]"
"[0.151, 0.394, 0.058, 0.29]","[6.567211489505752, 12.53511060102575]"
"[0.158, 0.588, 0.063, 0.016]","[10.041452649804084, 20.348137161537785]"
"[0.17, 0.392, 0.064, 0.328]","[18.298383101930906, 17.8224539127893]"
"[0.178, 0.586, 0.07, 0.056]","[13.308915967123038, 17.01781903034151]"
"[0.19, 0.78, 0.071, -0.214]","[11.900030678834732, 6.209190262837197]"
"[0.205, 0.974, 0.067, -0.483]","[10.382984523095635, 13.005216110303238]"
"[0.225, 0.778, 0.057, -0.17]","[12.423285433933557, 14.029210607574624]"
"[0.24, 0.972, 0.054, -0.444]","[11.97178948834052, 8.908732528495944]"
"[0.26, 1.167, 0.045, -0.72]","[18.739321820405774, 21.518007973679673]"
"[0.283, 1.361, 0.031, -0.998]","[22.294749418307404, 5.6479088796775585]"
"[0.31, 1.556, 0.011, -1.281]","[8.993944971422943, 15.660463116592034]"
"[0.341, 1.361, -0.015, -0.985]","[24.716929684636924, 7.26751330378923]"
"[0.369, 1.556, -0.035, -1.282]","[10.264056713516258, 23.127061629592475]"
"[0.4, 1.361, -0.06, -1.0]","[24.200443036859657, 16.65492066882242]"
"[0.427, 1.167, -0.08, -0.727]","[20.7608211111423, 9.54224632232618]"
"[0.45, 1.363, -0.095, -1.044]","[17.74543845891577, 9.226758716592638]"
"[0.478, 1.559, -0.116, -1.365]","[21.124607473319784, 14.930616039218481]"
"[0.509, 1.366, -0.143, -1.11]","[15.022800144266128, 23.34821968760842]"
"[0.536, 1.563, -0.165, -1.444]","[23.25140723375864, 20.447556299242784]"
"[0.567, 1.759, -0.194, -1.784]","[21.052057995862533, 17.851626372178334]"
"[-0.047, -0.019, -0.033, -0.013]","[23.8491926568095, 24.834831950737282]"
"[-0.048, -0.214, -0.033, 0.27]","[5.273557506346439, 8.750680311585272]"
"[-0.052, -0.018, -0.028, -0.033]","[5.874543404436658, 21.44590451990446]"
"[-0.052, 0.177, -0.028, -0.335]","[9.971295010297485, 13.5760099342668]"
"[-0.049, 0.373, -0.035, -0.636]","[8.073931366637243, 24.215321454883878]"
"[-0.041, 0.568, -0.048, -0.94]","[15.920543264107192, 15.622538810432252]"
"[-0.03, 0.764, -0.067, -1.247]","[19.36153973687439, 5.425627440629345]"
"[-0.015, 0.96, -0.091, -1.56]","[10.767105455447187, 7.466861590462299]"
"[0.004, 0.766, -0.123, -1.297]","[20.3254045729116, 5.040469092032476]"
"[0.02, 0.573, -0.149, -1.045]","[22.383342627683902, 22.415486121591712]"
"[0.031, 0.38, -0.169, -0.802]","[21.281163564206945, 19.612189733934635]"
"[0.039, 0.187, -0.186, -0.567]","[14.044350074914265, 5.495961614583653]"
"[0.043, 0.384, -0.197, -0.912]","[14.362728839141905, 8.013086711679813]"
"[0.044, 0.043, -0.006, 0.008]","[17.049457976738974, 8.019467899670564]"
"[0.045, 0.239, -0.005, -0.286]","[13.346425100510388, 5.63397552069395]"
"[0.05, 0.434, -0.011, -0.581]","[7.2804569483320165, 13.741746358185146]"
"[0.058, 0.239, -0.023, -0.292]","[23.11433215546907, 6.61012987574769]"
"[0.063, 0.044, -0.029, -0.006]","[23.912864161249587, 7.400514518036065]"
"[0.064, -0.151, -0.029, 0.277]","[10.633428111771096, 20.93871725014368]"
"[0.061, -0.345, -0.023, 0.561]","[20.637789957935805, 10.962048697389609]"
"[0.054, -0.54, -0.012, 0.846]","[8.229643416718481, 20.822249495210894]"
"[0.043, -0.345, 0.005, 0.55]","[10.770868578500588, 6.316283014265171]"
"[0.036, -0.54, 0.016, 0.844]","[18.637272460543485, 16.135820643336544]"
"[0.026, -0.735, 0.033, 1.141]","[18.012828878217725, 11.076193979849327]"
"[0.011, -0.931, 0.056, 1.444]","[21.051961049206863, 6.788481295674465]"
"[-0.008, -0.737, 0.084, 1.169]","[5.240365519924929, 14.22389598379574]"
"[-0.022, -0.543, 0.108, 0.904]","[17.452553951138228, 5.729920990089852]"
"[-0.033, -0.739, 0.126, 1.229]","[12.693321426851883, 7.407976711099988]"
"[-0.048, -0.935, 0.151, 1.558]","[10.208583344619583, 24.353420180992625]"
"[-0.067, -0.742, 0.182, 1.316]","[11.981188398192753, 19.13306333694191]"
"[-0.082, -0.55, 0.208, 1.085]","[8.648816083809418, 12.246192091581063]"
"[-0.016, 0.009, -0.017, -0.038]","[15.491485237576995, 20.128269860453297]"
"[-0.016, 0.204, -0.017, -0.336]","[11.545668227269346, 19.654537795245005]"
"[-0.012, 0.4, -0.024, -0.634]","[21.52327209420742, 23.205629387798943]"
"[-0.004, 0.595, -0.037, -0.934]","[15.76501288453241, 17.965392354471142]"
"[0.008, 0.791, -0.055, -1.238]","[16.598664023529153, 6.556700127472199]"
"[0.024, 0.596, -0.08, -0.963]","[9.474115063082984, 15.963933970933965]"
"[0.036, 0.792, -0.099, -1.28]","[6.380946501312261, 12.726565796152403]"
"[0.051, 0.989, -0.125, -1.602]","[9.272187748326289, 13.527158143206847]"
"[0.071, 0.795, -0.157, -1.351]","[23.47094038084643, 12.682619369295589]"
"[0.087, 0.992, -0.184, -1.688]","[6.043074766194481, 11.599467768645376]"
"[0.034, -0.012, -0.047, 0.015]","[17.24020546573796, 16.252430672347565]"
"[0.033, 0.184, -0.046, -0.292]","[9.83569156454189, 22.686172368307567]"
"[0.037, 0.38, -0.052, -0.599]","[22.625130864592307, 5.607461429032469]"
"[0.045, 0.185, -0.064, -0.323]","[17.04094070027184, 6.29659837267052]"
"[0.048, -0.009, -0.07, -0.051]","[17.054013105024694, 22.208544237313898]"
"[0.048, 0.187, -0.072, -0.365]","[22.3951871246872, 24.74826989048007]"
"[0.052, 0.383, -0.079, -0.68]","[13.850446394134364, 5.6074956773825395]"
"[0.06, 0.19, -0.092, -0.413]","[13.502422627489388, 12.448236375573245]"
"[0.063, 0.386, -0.101, -0.733]","[19.13322679910248, 11.97940007684303]"
"[0.071, 0.582, -0.115, -1.056]","[20.808975819746816, 8.789993422665415]"
"[0.083, 0.779, -0.136, -1.382]","[17.041046644095907, 10.801016402618565]"
"[0.098, 0.975, -0.164, -1.714]","[7.6254811485664415, 14.387511400334422]"
"[0.118, 1.172, -0.198, -2.053]","[6.870635367586182, 22.040205209494047]"
"[-0.015, -0.039, 0.008, 0.036]","[5.501414586696068, 17.083133830102444]"
"[-0.016, 0.156, 0.009, -0.254]","[18.65456822148352, 5.130819277814357]"
"[-0.013, 0.351, 0.004, -0.544]","[17.37519156243174, 13.045953781689851]"
"[-0.006, 0.546, -0.007, -0.836]","[19.17147549486127, 17.245853919940988]"
"[0.005, 0.351, -0.024, -0.545]","[13.282578051528866, 13.638586207975603]"
"[0.012, 0.156, -0.035, -0.26]","[11.667542542464119, 11.379823656089645]"
"[0.015, -0.039, -0.04, 0.021]","[24.89301805251757, 5.090169005398124]"
"[0.014, -0.233, -0.04, 0.301]","[22.646175662933587, 13.048031072567632]"
"[0.009, -0.428, -0.034, 0.581]","[18.468268638381428, 12.941777057582666]"
"[0.001, -0.623, -0.022, 0.863]","[24.33567358646594, 24.2159469540646]"
"[-0.012, -0.817, -0.005, 1.149]","[6.259725826776217, 23.31933517292571]"
"[-0.028, -1.012, 0.018, 1.44]","[14.152113696863625, 14.731494570043505]"
"[-0.048, -1.208, 0.047, 1.738]","[18.18825206292864, 10.546526128304674]"
"[-0.072, -1.403, 0.082, 2.045]","[18.145337790758013, 7.322277940617616]"
"[-0.1, -1.209, 0.123, 1.779]","[23.18135457986184, 24.558022577582975]"
"[-0.125, -1.405, 0.158, 2.107]","[19.16015842405939, 24.882273850754572]"
"[-0.153, -1.602, 0.2, 2.444]","[19.015794583186697, 15.623670771078757]"
"[-0.013, 0.004, -0.008, -0.041]","[5.377779874761586, 15.027170687207692]"
"[-0.013, 0.199, -0.009, -0.337]","[7.072030771771669, 10.858824492763405]"
"[-0.009, 0.394, -0.016, -0.632]","[5.35658066559211, 10.43299265938851]"
"[-0.001, 0.589, -0.029, -0.93]","[5.691964773783511, 19.762924520992186]"
"[0.011, 0.395, -0.047, -0.646]","[24.730001593283276, 8.77028249457398]"
"[0.019, 0.2, -0.06, -0.369]","[19.149558320366246, 15.481584414236636]"
"[0.023, 0.006, -0.068, -0.096]","[8.332089474530783, 8.664040338638905]"
"[0.023, 0.202, -0.069, -0.409]","[20.01737156575441, 19.866396648220697]"
"[0.027, 0.008, -0.078, -0.139]","[14.397801506542995, 9.248202143041294]"
"[0.027, 0.204, -0.08, -0.455]","[10.7181622760399, 9.216819380468383]"
"[0.031, 0.4, -0.09, -0.772]","[18.708382238327953, 24.021135861600854]"
"[0.039, 0.597, -0.105, -1.092]","[14.807472381219714, 24.649271562721985]"
"[0.051, 0.403, -0.127, -0.834]","[11.948052603513029, 20.866483237465367]"
"[0.059, 0.6, -0.143, -1.163]","[23.338740397625095, 21.602808512015663]"
"[0.071, 0.796, -0.167, -1.497]","[8.545648678851762, 14.446112166765754]"
"[0.087, 0.604, -0.197, -1.261]","[21.595482947707794, 9.499557160580869]"
"[0.027, -0.033, -0.031, -0.019]","[10.559209052367134, 18.165323454492615]"
"[0.027, 0.163, -0.031, -0.321]","[16.567554853985506, 23.280441915895196]"
"[0.03, 0.358, -0.038, -0.624]","[23.60303332039172, 14.443187311548243]"
"[0.037, 0.554, -0.05, -0.928]","[16.974219011070282, 17.474353670741536]"
"[0.048, 0.75, -0.069, -1.236]","[10.47122014778071, 14.601862491334412]"
"[0.063, 0.555, -0.093, -0.966]","[18.018519577468883, 17.136952482127473]"
"[0.074, 0.752, -0.113, -1.286]","[21.714452418176222, 18.95420670044726]"
"[0.089, 0.948, -0.138, -1.612]","[12.29232155771134, 5.677803680130708]"
"[0.108, 1.145, -0.171, -1.944]","[9.06231009115613, 15.272261681486333]"
"[-0.029, 0.026, -0.006, 0.036]","[23.89417043176655, 11.413520952931712]"
"[-0.029, -0.169, -0.005, 0.326]","[24.12238268126433, 22.91582400893428]"
"[-0.032, 0.027, 0.001, 0.032]","[22.92868006437511, 6.410668972141217]"
"[-0.032, 0.222, 0.002, -0.261]","[5.722640373864911, 16.50706697803866]"
"[-0.027, 0.026, -0.004, 0.033]","[6.579238116112208, 13.752188153058935]"
"[-0.027, -0.169, -0.003, 0.324]","[11.819464930275831, 6.324140655584284]"
"[-0.03, -0.364, 0.004, 0.616]","[9.011048139687855, 14.858200502421433]"
"[-0.037, -0.559, 0.016, 0.91]","[15.885741808237377, 5.510976947107567]"
"[-0.048, -0.754, 0.034, 1.207]","[10.930296695073016, 7.081933882258875]"
"[-0.063, -0.56, 0.058, 0.926]","[6.893621580881469, 10.538518578711695]"
"[-0.075, -0.365, 0.077, 0.652]","[5.852369284292189, 17.723401944589035]"
"[-0.082, -0.171, 0.09, 0.384]","[9.7491933725159, 16.958132465128905]"
"[-0.085, -0.368, 0.097, 0.704]","[16.611132226179098, 22.0851874814391]"
"[-0.093, -0.174, 0.112, 0.443]","[6.915617103024196, 14.996938475146266]"
"[-0.096, 0.019, 0.12, 0.188]","[18.531207828796635, 7.219229098538083]"
"[-0.096, -0.177, 0.124, 0.516]","[21.107492670781465, 24.297520866936576]"
"[-0.099, 0.016, 0.135, 0.265]","[5.1950590943312065, 24.802384773451173]"
"[-0.099, -0.181, 0.14, 0.597]","[22.85361251823381, 16.720654172379803]"
"[-0.103, -0.377, 0.152, 0.93]","[24.183006771356286, 13.532651748843607]"
"[-0.11, -0.185, 0.17, 0.689]","[9.642566454576514, 13.664267607434388]"
"[-0.114, -0.382, 0.184, 1.03]","[18.418621304616313, 9.385600156216148]"
"[-0.122, -0.579, 0.205, 1.374]","[16.317701689424663, 23.319940165728568]"
"[-0.041, 0.026, -0.02, -0.017]","[24.824672434905125, 15.07045337963071]"
"[-0.041, -0.168, -0.021, 0.269]","[13.728180928810172, 22.291404122759875]"
"[-0.044, 0.027, -0.015, -0.03]","[7.994581897355985, 7.519455650462474]"
"[-0.043, 0.222, -0.016, -0.328]","[23.921522068781886, 5.279731350675192]"
"[-0.039, 0.027, -0.023, -0.04]","[16.945472027525142, 14.986248506016146]"
"[-0.038, -0.167, -0.023, 0.245]","[10.741946158145957, 10.912872615265677]"
"[-0.042, -0.362, -0.018, 0.53]","[8.763645686341068, 5.5765800973585105]"
"[-0.049, -0.557, -0.008, 0.817]","[8.304896817181328, 12.015456675228037]"
"[-0.06, -0.752, 0.008, 1.107]","[10.396607297975729, 9.224135388506344]"
"[-0.075, -0.557, 0.031, 0.817]","[14.512546290220698, 18.969334511215457]"
"[-0.086, -0.753, 0.047, 1.12]","[11.51027520129478, 18.77929637201902]"
"[-0.101, -0.558, 0.069, 0.842]","[19.255653513186864, 19.113653354841247]"
"[-0.113, -0.364, 0.086, 0.572]","[8.914459861401415, 6.046130432347759]"
"[-0.12, -0.17, 0.098, 0.308]","[14.334350235912687, 23.72495959219494]"
"[-0.123, 0.023, 0.104, 0.047]","[11.84435558230106, 22.64026793139874]"
"[-0.123, -0.173, 0.105, 0.371]","[11.185478778420592, 19.98988814150778]"
"[-0.126, -0.369, 0.112, 0.695]","[21.001075627569083, 19.715437076651284]"
"[-0.134, -0.566, 0.126, 1.02]","[13.136435299568394, 13.284402702251231]"
"[-0.145, -0.763, 0.146, 1.35]","[7.352811133620428, 10.187388466140314]"
"[-0.16, -0.57, 0.173, 1.106]","[15.833109284594464, 8.63533184999444]"
"[-0.172, -0.377, 0.196, 0.873]","[11.3972560496361, 11.964440444202873]"
"[0.034, -0.01, 0.048, -0.003]","[14.955422829254111, 12.901884843033876]"
"[0.034, 0.184, 0.048, -0.28]","[14.946706813827575, 18.94905959574348]"
"[0.037, -0.012, 0.042, 0.027]","[7.421709772997616, 12.917274543728201]"
"[0.037, 0.183, 0.043, -0.252]","[7.99538292936258, 20.449950248532918]"
"[0.041, 0.377, 0.038, -0.531]","[21.53743545588386, 15.87851658439424]"
"[0.048, 0.572, 0.027, -0.811]","[15.35312368960039, 21.63139968597477]"
"[0.06, 0.376, 0.011, -0.51]","[21.65315560243421, 19.20952279634045]"
"[0.067, 0.571, 0.001, -0.799]","[13.007013179117475, 16.75869456766304]"
"[0.079, 0.767, -0.015, -1.092]","[20.15331887796473, 14.908912547549232]"
"[0.094, 0.962, -0.037, -1.389]","[15.179545221397655, 11.331130405073297]"
"[0.113, 0.767, -0.065, -1.108]","[11.865135937728123, 11.019660412024965]"
"[0.129, 0.573, -0.087, -0.836]","[17.29321959361271, 5.1344154163513664]"
"[0.14, 0.769, -0.104, -1.155]","[20.9032697398233, 20.47970255079829]"
"[0.155, 0.965, -0.127, -1.478]","[5.173166619783487, 11.8818282544303]"
"[0.175, 1.162, -0.156, -1.808]","[18.894536943462576, 17.343878205796617]"
"[0.198, 0.969, -0.193, -1.568]","[7.811895178300457, 5.698768642528764]"
"[-0.024, -0.013, 0.009, 0.015]","[8.419463826480333, 10.251234053203863]"
"[-0.024, -0.208, 0.01, 0.311]","[17.95440325869728, 14.910769001418437]"
"[-0.029, -0.404, 0.016, 0.607]","[19.93364731083382, 10.417819619697827]"
"[-0.037, -0.209, 0.028, 0.319]","[21.103665911853426, 7.161454964096681]"
"[-0.041, -0.014, 0.034, 0.035]","[19.699007965243425, 24.060031905132227]"
"[-0.041, -0.21, 0.035, 0.339]","[15.422350025879703, 13.098769529433614]"
"[-0.045, -0.405, 0.042, 0.642]","[19.903388602777476, 21.59708843241805]"
"[-0.053, -0.211, 0.055, 0.363]","[15.633389521042385, 14.393150161862637]"
"[-0.058, -0.016, 0.062, 0.088]","[22.586327558687703, 10.125069889885289]"
"[-0.058, -0.212, 0.064, 0.4]","[22.27817906231256, 13.774987528195208]"
"[-0.062, -0.408, 0.072, 0.712]","[7.33810787475313, 20.928753278638034]"
"[-0.07, -0.214, 0.086, 0.443]","[5.511803918278533, 20.906756080597575]"
"[-0.075, -0.41, 0.095, 0.761]","[23.52963707703202, 16.921225224366637]"
"[-0.083, -0.607, 0.11, 1.082]","[8.093621041014437, 7.721845287893863]"
"[-0.095, -0.413, 0.132, 0.826]","[17.715582824225475, 7.016245965410583]"
"[-0.103, -0.61, 0.148, 1.157]","[22.149644618142073, 17.711701871401317]"
"[-0.115, -0.417, 0.171, 0.914]","[9.408407225561866, 22.64872827461749]"
"[-0.124, -0.614, 0.19, 1.255]","[6.535221015472057, 23.271330819233093]"
"[-0.027, 0.039, 0.04, -0.038]","[14.926074958805028, 18.106036512629093]"
"[-0.026, 0.233, 0.039, -0.317]","[18.931766273742156, 16.335460534273004]"
"[-0.022, 0.428, 0.033, -0.597]","[8.281487137397946, 11.2986080616787]"
"[-0.013, 0.623, 0.021, -0.879]","[6.37660494679697, 17.557321527261706]"
"[-0.001, 0.427, 0.004, -0.58]","[18.432417642430234, 21.144876327124983]"
"[0.008, 0.622, -0.008, -0.872]","[5.788066988524577, 16.619997567105752]"
"[0.02, 0.818, -0.025, -1.167]","[17.53514561964694, 22.64320129588196]"
"[0.037, 1.013, -0.049, -1.467]","[17.850406903077904, 5.618813243526935]"
"[0.057, 1.209, -0.078, -1.775]","[24.531149688364867, 17.26822143847746]"
"[0.081, 1.405, -0.114, -2.091]","[7.32505587512192, 23.660553441981143]"
"[0.109, 1.601, -0.155, -2.416]","[5.454625579505326, 20.913403987586282]"
"[0.141, 1.797, -0.204, -2.753]","[17.57172354186353, 17.244007072021425]"
"[0.034, -0.001, -0.043, 0.03]","[22.697977833639385, 24.183851524564968]"
"[0.034, 0.194, -0.042, -0.276]","[18.976366193495256, 24.82016488276849]"
"[0.038, -0.0, -0.048, 0.003]","[8.736542026864386, 21.602963967473126]"
"[0.038, -0.194, -0.048, 0.281]","[23.38016608566071, 8.820002936260154]"
"[0.034, 0.001, -0.042, -0.027]","[15.049284711436526, 19.1267145173601]"
"[0.034, -0.193, -0.043, 0.252]","[6.852008299033381, 19.13754141017393]"
"[0.03, -0.388, -0.038, 0.531]","[13.392005973377161, 18.01479540038832]"
"[0.022, -0.582, -0.027, 0.812]","[21.117997578869698, 24.860846890053384]"
"[0.01, -0.387, -0.011, 0.511]","[18.990136901263334, 10.833482601277932]"
"[0.003, -0.582, -0.001, 0.8]","[18.626683793242233, 11.578001675737902]"
"[-0.009, -0.387, 0.015, 0.507]","[22.58496477042798, 7.793725421346645]"
"[-0.017, -0.192, 0.026, 0.219]","[22.742010679568935, 16.890257844172847]"
"[-0.02, -0.387, 0.03, 0.52]","[16.07186935914882, 22.190086161074163]"
"[-0.028, -0.583, 0.04, 0.822]","[14.929019347334833, 11.184851096149124]"
"[-0.04, -0.778, 0.057, 1.127]","[24.749434397127608, 16.4100876466702]"
"[-0.055, -0.974, 0.079, 1.437]","[24.912785385832272, 14.878650250957516]"
"[-0.075, -0.78, 0.108, 1.17]","[7.4856471899111865, 24.16268892141368]"
"[-0.091, -0.976, 0.131, 1.495]","[11.459871225613096, 22.753285348131108]"
"[-0.11, -1.173, 0.161, 1.825]","[20.18209272403155, 16.356777169376016]"
"[-0.133, -1.369, 0.198, 2.163]","[10.136718243153759, 7.7108570607038125]"
"[-0.005, -0.021, -0.032, -0.034]","[22.94092836411852, 9.082546938892177]"
"[-0.005, -0.215, -0.033, 0.249]","[18.49637144799377, 13.161916039520104]"
"[-0.009, -0.02, -0.028, -0.054]","[22.74046066856438, 16.230232144738892]"
"[-0.01, 0.176, -0.029, -0.355]","[24.443156855895705, 15.12462327054118]"
"[-0.006, 0.371, -0.036, -0.657]","[13.47754520691851, 17.94426890789622]"
"[0.001, 0.567, -0.049, -0.961]","[20.211232808575897, 23.814163473661544]"
"[0.013, 0.372, -0.068, -0.684]","[13.98994597121795, 6.953092779125818]"
"[0.02, 0.178, -0.082, -0.413]","[7.217702627590152, 13.933587291715291]"
"[0.024, -0.016, -0.09, -0.148]","[10.831765776044026, 14.071035777602551]"
"[0.023, 0.181, -0.093, -0.467]","[11.757116854760357, 20.64580467252648]"
"[0.027, -0.013, -0.103, -0.206]","[15.506947840951241, 6.491187321870184]"
"[0.027, 0.183, -0.107, -0.529]","[17.95958286007404, 18.38290623364645]"
"[0.03, -0.01, -0.117, -0.271]","[19.38000655872188, 13.025904908110109]"
"[0.03, 0.187, -0.123, -0.599]","[6.060292887940799, 10.219299678803644]"
